Percentage, voltage
33.872444308819,49.1365
33.5672871528837,49.11018
33.2621299969484,49.08386
32.9569728410131,49.05754
32.6518156850778,49.03122
32.3466585291425,49.00504
32.0415013732072,48.97886
31.7363442172719,48.95268
31.4311870613366,48.92664
31.1260299054013,48.90074
30.820872749466,48.87498
30.5157155935307,48.84936
30.2105584375954,48.82402
29.9054012816601,48.79868
29.6002441257247,48.77334
29.2950869697894,48.748
28.9899298138541,48.72224
28.6847726579188,48.6962
28.3796155019835,48.66932
28.0744583460482,48.64174
27.7693011901129,48.61304
27.4641440341776,48.5835
27.1589868782423,48.55298
26.853829722307,48.52162
26.5486725663717,48.48956
26.2435154104364,48.45694
25.9383582545011,48.42376
25.6332010985658,48.3903
25.3280439426305,48.35642
25.0228867866951,48.3224
24.7177296307598,48.28796
